dataset,num_queries,batch_size,total_time,host_to_device,device_to_host,num_errors,throughput
pubs,100,128,1.6068146228790283,0.011153697967529297,0.00014662742614746094,21,62.23493275212038
pubs,1000,128,1.636749029159546,0.011171817779541016,0.00014090538024902344,156,610.9672174441367
pubs,10000,128,1.6356334686279297,0.010653018951416016,0.00027680397033691406,1731,6113.839189405079
glove.6B.50d,100,128,1.6111085414886475,0.06810665130615234,0.00015854835510253906,0,62.069064513556015
glove.6B.50d,1000,128,1.624648094177246,0.06664681434631348,0.0001518726348876953,0,615.5179103610249
glove.6B.50d,10000,128,1.7858483791351318,0.06776261329650879,0.0001888275146484375,0,5599.579514607449
glove.840B.300d,100,128,1.6863811016082764,1.3996837139129639,0.00017070770263671875,0,59.2985772341919
glove.840B.300d,1000,128,2.2562291622161865,1.3835899829864502,0.00016427040100097656,0,443.2173897698174
glove.840B.300d,10000,128,6.776937007904053,1.3825595378875732,0.00018739700317382812,0,1475.5928804320943
