dataset,num_queries,batch_size,total_time,num_errors,throughput
pubs,100,256,8.18485426902771,0,12.217688515042937
pubs,1000,256,56.063597440719604,0,17.836886065996346
pubs,10000,256,573.8448770046234,0,17.42631223301734
glove.6B.50d,100,256,50.798351526260376,0,1.9685678175659829
glove.6B.50d,1000,256,479.8237442970276,0,2.0840986130543913
glove.6B.50d,10000,256,4848.912085533142,0,2.0623182733783243
glove.840B.300d,100,256,301.2815771102905,0,0.3319154160010019
glove.840B.300d,1000,256,2937.396271467209,0,0.34043755339163245
glove.840B.300d,10000,256,SKIPPED,SKIPPED,0
