dataset,num_queries,batch_size,total_time,host_to_device,device_to_host,num_errors,throughput
pubs,100,16,1.8812963962554932,0.011366128921508789,9.870529174804688e-05,0,53.154835250329846
pubs,1000,16,1.756195068359375,0.011431455612182617,0.00010824203491210938,0,569.4128277755574
pubs,10000,16,2.5395336151123047,0.011560440063476562,0.00014472007751464844,0,3937.7309047975623
glove.6B.50d,100,16,1.7119107246398926,0.0668022632598877,0.00019216537475585938,0,58.414261071374156
glove.6B.50d,1000,16,3.871701955795288,0.06651878356933594,0.000209808349609375,0,258.2843440474977
glove.6B.50d,10000,16,25.54849147796631,0.06644248962402344,0.00020599365234375,0,391.41254224830703
glove.840B.300d,100,16,,,,,
glove.840B.300d,1000,16,,,,,
glove.840B.300d,10000,16,,,,,
